datetime,price_usd,hashrate
2010-09-04,0.06,0.0055469833607036
2010-09-05,0.06,0.005020174885106
2010-09-06,0.06,0.0052370960221168
2010-09-07,0.06,0.0046792988126606
2010-09-08,0.06,0.0053865302224285
2010-09-09,0.06,0.0053510925235967
2010-09-10,0.06,0.0060598465002321
2010-09-11,0.06,0.0057409072107462
2010-09-12,0.06,0.0064850988862133
2010-09-13,0.06,0.0058117826084097
2010-09-14,0.06,0.0069103512721945
2010-09-15,0.09,0.0066622873803721
2010-09-16,0.15,0.0067331627780356
2010-09-17,0.06,0.0076545429476616
2010-09-18,0.06,0.0083987346231287
2010-09-19,0.06,0.0095813788611368
2010-09-20,0.06,0.0096270044747612
2010-09-21,0.06,0.0080757336115295
2010-09-22,0.06,0.0078932311570317
2010-09-23,0.06,0.0096726300883857
2010-09-24,0.06,0.0112239009516174
2010-09-25,0.06,0.0092163739521411
2010-09-26,0.06,0.0089882458840188
2010-09-27,0.06,0.0108588960426217
2010-09-28,0.06,0.0098551325428835
2010-09-29,0.06,0.0116026055429805
2010-09-30,0.06,0.0092427535681369
2010-10-01,0.06,0.0102260252243218
2010-10-02,0.06,0.0071451073682761
2010-10-03,0.06,0.0079317246932239
2010-10-04,0.06,0.0100949223368305
2010-10-05,0.06,0.0080628275807152
2010-10-06,0.06,0.0099638194493391
2010-10-07,0.06,0.0113403997679978
2010-10-08,0.07,0.0101604737805761
2010-10-09,0.1,0.0100293708930848
2010-10-10,0.12,0.0112748483242522
2010-10-11,0.12,0.0108159882180326
2010-10-12,0.12,0.0109603442625967
2010-10-13,0.1,0.0115768636273677
